Frequency[MHz];Amplitude RX1[mV] at pwm=100
 98.125;1125
 98.188;1127
 98.250;1118
 98.313;1127
 98.375;1127
 98.438;1135
 98.500;1127
 98.563;1154
 98.625;1166
 98.688;1184
 98.750;1198
 98.813;1215
 98.875;1245
 98.938;1247
 99.000;1262
 99.063;1274
 99.125;1267
 99.188;1284
 99.250;1284
 99.313;1291
 99.375;1289
 99.438;1303
 99.500;1328
 99.563;1320
 99.625;1330
 99.688;1335
 99.750;1328
 99.813;1345
 99.875;1352
 99.938;1359
100.000;1350
100.063;1354
100.125;1369
100.188;1367
100.250;1376
100.313;1364
100.375;1391
100.438;1394
100.500;1406
100.563;1411
100.625;1418
100.688;1413
100.750;1420
100.813;1433
100.875;1450
100.938;1455
101.000;1455
101.063;1464
101.125;1477
101.188;1474
101.250;1477
101.313;1484
101.375;1494
101.438;1496
101.500;1494
101.563;1501
101.625;1508
101.688;1511
101.750;1525
101.813;1533
101.875;1535
101.938;1542
102.000;1542
102.063;1545
102.125;1542
102.188;1552
102.250;1562
102.313;1557
102.375;1557
102.438;1564
102.500;1567
102.563;1574
102.625;1572
102.688;1584
102.750;1579
102.813;1594
102.875;1579
102.938;1599
103.000;1599
103.063;1594
103.125;1596
103.188;1604
103.250;1606
103.313;1606
103.375;1618
103.438;1618
103.500;1611
103.563;1616
103.625;1608
103.688;1618
103.750;1621
103.813;1621
103.875;1621
103.938;1623
104.000;1635
104.063;1633
104.125;1635
104.188;1643
104.250;1643
104.313;1643
104.375;1630
104.438;1638
104.500;1630
104.563;1633
104.625;1625
104.688;1623
104.750;1628
104.813;1630
104.875;1628
104.938;1625
105.000;1621
105.063;1628
105.125;1628
105.188;1635
105.250;1630
105.313;1638
105.375;1630
105.438;1633
105.500;1643
105.563;1638
105.625;1638
105.688;1645
105.750;1630
105.813;1645
105.875;1647
105.938;1643
106.000;1638
106.063;1630
106.125;1643
106.188;1647
106.250;1640
106.313;1643
106.375;1638
106.438;1628
106.500;1628
106.563;1640
106.625;1633
106.688;1635
106.750;1630
106.813;1628
106.875;1623
106.938;1618
107.000;1616
107.063;1625
107.125;1621
107.188;1616
107.250;1613
107.313;1613
107.375;1596
107.438;1586
107.500;1589
107.563;1574
107.625;1577
107.688;1569
107.750;1555
107.813;1562
107.875;1567
107.938;1555
108.000;1560
108.063;1560
108.125;1564
108.188;1557
108.250;1562
108.313;1557
108.375;1533
108.438;1525
108.500;1530
108.563;1518
108.625;1508
108.688;1516
108.750;1494
108.813;1496
108.875;1479
108.938;1481
109.000;1469
109.063;1459
109.125;1457
109.188;1457
109.250;1457
109.313;1457
109.375;1450
109.438;1437
109.500;1423
109.563;1416
109.625;1379
109.688;1372
109.750;1328
109.813;1259
109.875;1210
109.938;1184
110.000;1169
110.063;1174
110.125;1164
110.188;1166
110.250;1169
110.313;1162
110.375;1162
110.438;1184
110.500;1184
110.563;1220
110.625;1237
110.688;1250
110.750;1276
110.813;1296
110.875;1318
110.938;1352
111.000;1459
111.063;1525
111.125;1572
111.188;1572
111.250;1525
111.313;1464
111.375;1423
111.438;1428
111.500;1433
111.563;1459
111.625;1462
111.688;1477
111.750;1479
111.813;1486
111.875;1494
111.938;1508
112.000;1511
112.063;1520
112.125;1533
112.188;1535
112.250;1542
112.313;1562
112.375;1560
112.438;1579
112.500;1596
112.563;1594
112.625;1608
112.688;1611
112.750;1628
112.813;1633
112.875;1647
112.938;1645
113.000;1650
113.063;1696
113.125;1840
113.188;1950
113.250;2016
113.313;2058
113.375;2021
113.438;1943
113.500;1811
113.563;1718
113.625;1708
113.688;1716
113.750;1723
113.813;1716
113.875;1726
113.938;1726
114.000;1728
114.063;1735
114.125;1735
114.188;1735
114.250;1728
114.313;1735
114.375;1738
114.438;1748
114.500;1745
114.563;1748
114.625;1752
114.688;1750
114.750;1750
114.813;1755
114.875;1760
114.938;1762
115.000;1762
115.063;1765
115.125;1762
115.188;1760
115.250;1779
115.313;1772
115.375;1770
115.438;1779
115.500;1774
115.563;1777
115.625;1779
115.688;1774
115.750;1782
115.813;1789
115.875;1784
115.938;1799
116.000;1791
116.063;1791
116.125;1796
116.188;1799
116.250;1799
116.313;1789
116.375;1791
116.438;1789
116.500;1791
116.563;1804
116.625;1799
116.688;1791
116.750;1789
116.813;1796
116.875;1804
116.938;1796
117.000;1804
117.063;1801
117.125;1804
117.188;1809
117.250;1804
117.313;1799
117.375;1796
117.438;1804
117.500;1804
117.563;1811
117.625;1809
117.688;1811
117.750;1828
117.813;1818
117.875;1813
117.938;1821
118.000;1816
118.063;1813
118.125;1804
118.188;1799
118.250;1804
118.313;1799
118.375;1787
118.438;1784
118.500;1799
118.563;1804
118.625;1801
118.688;1816
118.750;1806
118.813;1782
118.875;1745
118.938;1733
119.000;1726
119.063;1721
119.125;1711
119.188;1696
119.250;1684
119.313;1672
119.375;1674
119.438;1674
119.500;1672
119.563;1662
119.625;1669
119.688;1657
119.750;1662
119.813;1655
119.875;1652
119.938;1662
120.000;1716
120.063;1733
120.125;1770
120.188;1772
120.250;1750
120.313;1730
120.375;1689
120.438;1660
120.500;1660
120.563;1657
120.625;1647
120.688;1657
120.750;1645
120.813;1633
120.875;1630
120.938;1623
121.000;1630
121.063;1623
121.125;1616
121.188;1628
121.250;1625
121.313;1625
121.375;1611
121.438;1628
121.500;1608
121.563;1596
121.625;1579
121.688;1579
121.750;1560
121.813;1525
121.875;1511
121.938;1503
122.000;1481
122.063;1491
122.125;1489
122.188;1538
122.250;1489
122.313;1503
122.375;1494
122.438;1494
122.500;1516
122.563;1496
122.625;1528
122.688;1508
122.750;1550
122.813;1525
122.875;1550
122.938;1560
123.000;1589
123.063;1594
123.125;1533
123.188;1572
123.250;1586
123.313;1560
123.375;1569
123.438;1552
123.500;1594
123.563;1616
123.625;1633
123.688;1643
123.750;1691
123.813;1638
123.875;1628
123.938;1645
124.000;1606
124.063;1638
124.125;1657
124.188;1687
124.250;1826
124.313;1892
124.375;1918
124.438;1911
124.500;1904
124.563;1833
124.625;1782
124.688;1696
124.750;1687
124.813;1667
124.875;1657
124.938;1691
125.000;1701
125.063;1711
125.125;1701
125.188;1713
125.250;1691
125.313;1674
125.375;1657
125.438;1684
125.500;1784
125.563;1979
125.625;2106
125.688;2124
125.750;2126
125.813;2104
125.875;2065
125.938;1967
126.000;1770
126.063;1691
126.125;1687
126.188;1667
126.250;1674
126.313;1689
126.375;1689
126.438;1708
126.500;1699
126.563;1696
126.625;1708
126.688;1694
126.750;1704
126.813;1726
126.875;1699
126.938;1691
127.000;1696
127.063;1696
