Frequency[MHz];Amplitude RX1[mV] at pwm=60
136.938;1523
137.000;1508
137.063;1494
137.125;1499
137.188;1503
137.250;1499
137.313;1496
137.375;1545
137.438;1586
137.500;1591
137.563;1777
137.625;1838
137.688;1872
137.750;1811
137.813;1804
137.875;1669
137.938;1633
138.000;1779
138.063;1757
138.125;1750
138.188;1740
138.250;1677
138.313;1523
138.375;1437
138.438;1435
138.500;1425
138.563;1484
138.625;1472
138.688;1481
138.750;1477
138.813;1459
138.875;1447
138.938;1577
139.000;1647
139.063;1787
139.125;1865
139.188;1923
139.250;1887
139.313;1882
139.375;1872
139.438;1892
139.500;1826
139.563;1789
139.625;1755
139.688;1623
139.750;1535
139.813;1540
139.875;1499
139.938;1503
140.000;1506
140.063;1474
140.125;1459
140.188;1491
140.250;1464
140.313;1464
140.375;1442
140.438;1425
140.500;1408
140.563;1418
140.625;1396
140.688;1413
140.750;1428
140.813;1413
140.875;1491
140.938;1535
141.000;1538
141.063;1513
141.125;1496
141.188;1459
141.250;1459
141.313;1462
141.375;1484
141.438;1477
141.500;1516
141.563;1535
141.625;1616
141.688;1545
141.750;1535
141.813;1508
141.875;1467
141.938;1450
142.000;1442
142.063;1447
142.125;1440
142.188;1445
142.250;1442
142.313;1428
142.375;1430
142.438;1440
142.500;1420
142.563;1433
142.625;1428
142.688;1423
142.750;1420
142.813;1403
142.875;1408
142.938;1423
143.000;1413
143.063;1420
143.125;1425
143.188;1416
143.250;1442
143.313;1442
143.375;1450
143.438;1435
143.500;1433
143.563;1455
143.625;1711
143.688;1811
143.750;1857
143.813;1826
143.875;1799
143.938;1789
144.000;1628
144.063;1557
144.125;1538
144.188;1520
144.250;1477
144.313;1452
144.375;1437
144.438;1423
144.500;1433
144.563;1433
144.625;1437
144.688;1452
144.750;1433
144.813;1420
144.875;1435
144.938;1423
145.000;1413
145.063;1428
145.125;1430
145.188;1433
145.250;1442
145.313;1445
145.375;1464
145.438;1430
145.500;1445
145.563;1428
145.625;1437
145.688;1433
145.750;1452
145.813;1564
145.875;1552
145.938;1589
146.000;1596
146.063;1535
146.125;1489
146.188;1447
146.250;1447
146.313;1459
146.375;1455
146.438;1459
146.500;1464
146.563;1455
146.625;1445
146.688;1447
146.750;1435
146.813;1423
146.875;1435
146.938;1416
147.000;1428
147.063;1413
147.125;1420
147.188;1425
147.250;1430
147.313;1437
147.375;1440
147.438;1440
147.500;1442
147.563;1430
147.625;1425
147.688;1401
147.750;1413
147.813;1423
147.875;1428
147.938;1433
148.000;1428
148.063;1452
148.125;1440
148.188;1447
148.250;1440
148.313;1447
148.375;1459
148.438;1457
148.500;1464
148.563;1442
148.625;1467
148.688;1433
148.750;1447
148.813;1452
148.875;1440
148.938;1437
149.000;1433
149.063;1425
149.125;1418
149.188;1430
149.250;1442
149.313;1494
149.375;1677
149.438;1740
149.500;1772
149.563;1682
149.625;1701
149.688;1584
149.750;1496
149.813;1481
149.875;1489
149.938;1499
150.000;1516
150.063;1499
150.125;1513
150.188;1494
150.250;1496
150.313;1501
150.375;1472
150.438;1462
150.500;1447
150.563;1489
150.625;1589
150.688;1760
150.750;1791
150.813;1748
150.875;1713
150.938;1657
151.000;1540
151.063;1445
151.125;1423
151.188;1430
151.250;1418
151.313;1408
151.375;1416
151.438;1411
151.500;1440
151.563;1433
151.625;1459
151.688;1445
151.750;1452
151.813;1452
151.875;1459
151.938;1474
152.000;1479
152.063;1464
152.125;1450
152.188;1423
152.250;1406
152.313;1406
152.375;1413
152.438;1406
152.500;1401
152.563;1394
152.625;1398
152.688;1391
152.750;1398
152.813;1396
152.875;1420
152.938;1403
153.000;1638
153.063;1672
153.125;1679
153.188;1711
153.250;1674
153.313;1621
153.375;1613
153.438;1447
153.500;1437
153.563;1442
153.625;1452
153.688;1452
153.750;1486
153.813;1564
153.875;1618
153.938;1696
154.000;1672
154.063;1650
154.125;1608
154.188;1520
154.250;1499
154.313;1494
154.375;1462
154.438;1447
154.500;1511
154.563;1665
154.625;1699
154.688;1684
154.750;1652
154.813;1618
154.875;1557
154.938;1574
155.000;1586
155.063;1552
155.125;1645
155.188;1818
155.250;2060
155.313;2163
155.375;2197
155.438;2148
155.500;2172
155.563;1931
155.625;1752
155.688;1599
155.750;1474
155.813;1491
155.875;1496
155.938;1511
156.000;1511
156.063;1472
156.125;1462
156.188;1569
156.250;1672
156.313;1738
156.375;1752
156.438;1708
156.500;1696
156.563;1562
156.625;1455
156.688;1459
156.750;1491
156.813;1486
156.875;1472
156.938;1479
157.000;1433
157.063;1440
157.125;1413
157.188;1396
157.250;1398
157.313;1416
157.375;1401
157.438;1435
157.500;1437
157.563;1437
157.625;1435
157.688;1430
157.750;1430
157.813;1489
157.875;1606
157.938;1667
158.000;1630
158.063;1584
158.125;1542
158.188;1452
158.250;1403
158.313;1394
158.375;1413
158.438;1416
158.500;1447
158.563;1437
158.625;1442
158.688;1452
158.750;1425
158.813;1469
158.875;1474
158.938;1547
159.000;1586
159.063;1633
159.125;1596
159.188;1596
159.250;1611
159.313;1625
159.375;1604
159.438;1569
159.500;1552
159.563;1542
159.625;1577
159.688;1628
159.750;1552
159.813;1555
159.875;1540
159.938;1511
160.000;1494
160.063;1525
160.125;1467
160.188;1474
160.250;1447
160.313;1428
160.375;1418
160.438;1406
160.500;1416
160.563;1413
160.625;1425
160.688;1621
160.750;1804
160.813;1884
160.875;1884
160.938;1853
161.000;1828
161.063;1689
